name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bangladesh,2020-01-13,22.0,12.0,16.5,22.0,12.0,16.5,13.3,82.5,0.0,0,0.0,,0,0,19.1,7.6,288.7,1012.4,58.8,1.4,179.2,15.4,7,,2020-01-13T06:42:53,2020-01-13T17:30:53,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
Bangladesh,2020-01-14,23.0,13.0,17.4,23.0,13.0,17.4,15.0,85.9,0.0,0,0.0,,0,0,16.2,5.4,91.9,1013.4,52.4,1.0,179.0,15.4,7,,2020-01-14T06:42:55,2020-01-14T17:31:36,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
Bangladesh,2020-01-15,25.0,15.0,19.5,25.0,15.0,19.5,15.8,80.2,0.0,0,0.0,,0,0,19.1,11.2,333.5,1014.8,47.9,1.5,191.1,16.4,7,,2020-01-15T06:42:56,2020-01-15T17:32:20,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
Bangladesh,2020-01-16,27.0,15.0,20.4,27.5,15.0,20.4,15.7,76.6,0.0,0,0.0,,0,0,18.4,9.4,64.4,1015.1,28.5,2.0,192.4,16.6,7,,2020-01-16T06:42:55,2020-01-16T17:33:03,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VGHS,41922099999"
Bangladesh,2020-01-17,29.0,16.0,21.3,29.1,16.0,21.3,15.3,70.7,0.0,0,0.0,,0,0,19.1,11.2,63.2,1015.7,3.5,2.7,194.2,17.0,7,,2020-01-17T06:42:53,2020-01-17T17:33:47,0.75,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-01-18,29.0,18.0,22.4,28.6,18.0,22.4,15.7,68.1,0.0,0,0.0,,0,0,15.8,9.4,334.8,1015.0,8.1,2.8,196.0,17.0,7,,2020-01-18T06:42:49,2020-01-18T17:34:31,0.76,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-01-19,27.0,17.0,21.2,27.3,17.0,21.2,16.3,74.9,0.0,0,0.0,,0,0,22.7,18.4,327.1,1014.5,21.3,2.5,171.6,14.8,7,,2020-01-19T06:42:44,2020-01-19T17:35:15,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
Bangladesh,2020-01-20,23.0,16.0,19.2,23.0,16.0,19.2,13.9,72.2,0.2,100,8.33,rain,0,0,25.9,16.6,315.8,1016.4,33.0,3.0,145.5,12.6,6,,2020-01-20T06:42:38,2020-01-20T17:35:58,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VGHS,remote,41922099999"
Bangladesh,2020-01-21,24.0,14.0,18.6,24.0,14.0,18.6,12.1,67.8,0.0,0,0.0,,0,0,23.0,13.0,318.8,1018.7,15.8,3.1,196.5,17.0,7,,2020-01-21T06:42:30,2020-01-21T17:36:42,0.87,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-01-22,24.0,14.0,18.8,24.0,14.0,18.8,12.6,69.3,0.0,0,0.0,,0,0,23.8,13.0,321.0,1018.3,7.4,2.6,203.4,17.6,7,,2020-01-22T06:42:20,2020-01-22T17:37:26,0.91,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
