Date,DayPeakGen(MW),EveningPeakGen(MW),MaxDemand(MW),MaxGen(MW),Temp(C),Year,Month,Season,IsHoliday
2024-09-21,15355,16312,15700,16312,29.0,2024,9,highTempSeason,No
2024-09-20,15722,16449,15500,16449,33.0,2024,9,highTempSeason,Yes
2024-09-19,15658,16456,16000,16456,32.2,2024,9,highTempSeason,No
2024-09-18,15202,16131,15400,16131,31.0,2024,9,highTempSeason,No
2024-09-17,15314,16266,15500,16266,29.9,2024,9,highTempSeason,No
2024-09-16,15527,16420,12600,16420,28.1,2024,9,highTempSeason,No
2024-09-15,15203,16012,12000,16012,26.1,2024,9,highTempSeason,No
2024-09-14,14556,16174,13000,16174,26.0,2024,9,highTempSeason,No
2024-09-13,15040,16409,15000,16409,30.6,2024,9,highTempSeason,Yes
2024-09-12,14444,16001,15700,16001,31.8,2024,9,highTempSeason,No
2024-09-11,14256,15614,15900,15614,30.8,2024,9,highTempSeason,No
2024-09-10,13477,14681,16200,14681,29.7,2024,9,highTempSeason,No
2024-09-09,14371,15482,16200,15482,30.7,2024,9,highTempSeason,No
2024-09-08,14350,15540,15900,15540,31.0,2024,9,highTempSeason,No
2024-09-07,15089,15915,15500,15915,30.5,2024,9,highTempSeason,No
2024-09-06,14602,15385,14000,15385,29.9,2024,9,highTempSeason,Yes
2024-09-05,14427,15004,15600,15004,29.3,2024,9,highTempSeason,No
2024-09-04,14680,15298,15500,15298,30.0,2024,9,highTempSeason,No
2024-09-03,14961,15859,15200,15859,28.0,2024,9,highTempSeason,No
2024-09-02,15796,16914,15600,16914,29.4,2024,9,highTempSeason,No
2024-09-01,15975,16936,15500,16936,29.5,2024,9,highTempSeason,No
2024-08-31,15839,16656,15000,16656,30.4,2024,8,highTempSeason,No
2024-08-30,15032,16003,14000,16003,30.6,2024,8,highTempSeason,Yes
2024-08-29,15691,16447,15000,16447,30.6,2024,8,highTempSeason,No
2024-08-28,14958,16406,14600,16406,28.8,2024,8,highTempSeason,No
2024-08-27,14650,15756,14000,15756,28.3,2024,8,highTempSeason,No
2024-08-26,14764,15434,12800,15434,27.0,2024,8,highTempSeason,No
2024-08-25,14452,15191,14200,15191,27.3,2024,8,highTempSeason,No
2024-08-24,14524,15510,13700,15510,29.2,2024,8,highTempSeason,No
2024-08-23,14096,14982,12300,14982,28.1,2024,8,highTempSeason,Yes
2024-08-22,14177,15164,14000,15164,26.9,2024,8,highTempSeason,No
2024-08-21,12874,14974,13500,14974,27.4,2024,8,highTempSeason,No
2024-08-20,14631,15601,13500,15601,28.5,2024,8,highTempSeason,No
2024-08-19,14211,15777,15000,15777,26.7,2024,8,highTempSeason,No
2024-08-18,14510,15623,15000,15623,27.6,2024,8,highTempSeason,No
2024-08-17,14089,15100,14500,15100,28.1,2024,8,highTempSeason,No
2024-08-16,14036,15022,14500,15022,28.8,2024,8,highTempSeason,Yes
2024-08-15,14321,15152,16000,15152,30.6,2024,8,highTempSeason,No
2024-08-14,14455,15516,15500,15516,30.5,2024,8,highTempSeason,No
2024-08-13,15171,16286,14700,16286,29.6,2024,8,highTempSeason,No
2024-08-12,14800,15918,14500,15918,28.8,2024,8,highTempSeason,No
2024-08-11,14118,15287,15000,15287,28.8,2024,8,highTempSeason,No
2024-08-10,13808,15540,14500,15540,29.0,2024,8,highTempSeason,No
2024-08-09,13845,16595,13500,16595,28.7,2024,8,highTempSeason,Yes
2024-08-08,14727,17615,14100,17615,29.0,2024,8,highTempSeason,No
2024-08-07,15245,17638,14000,17638,29.2,2024,8,highTempSeason,No
2024-08-06,13938,15856,14000,15856,29.2,2024,8,highTempSeason,No
2024-08-05,14010,15969,13000,15969,28.9,2024,8,highTempSeason,No
2024-08-04,13490,15695,14800,15695,29.0,2024,8,highTempSeason,No
2024-08-03,13587,16532,13600,16532,27.7,2024,8,highTempSeason,No
2024-08-02,13289,16152,12500,16152,26.5,2024,8,highTempSeason,Yes
2024-08-01,13772,15671,15500,15671,27.1,2024,8,highTempSeason,No
2024-07-31,14488,16160,16000,16160,29.8,2024,7,highTempSeason,No
2024-07-30,14399,16084,16000,16084,29.1,2024,7,highTempSeason,No
2024-07-29,14646,16212,16000,16212,30.0,2024,7,highTempSeason,No
2024-07-28,14685,16178,16000,16178,31.1,2024,7,highTempSeason,No
2024-07-27,15371,16666,15500,16666,31.2,2024,7,highTempSeason,No
2024-07-26,14328,15527,15000,15527,30.8,2024,7,highTempSeason,Yes
2024-07-25,15097,16521,15200,16521,30.6,2024,7,highTempSeason,No
2024-07-18,15065,16126,16000,16126,32.6,2024,7,highTempSeason,No
2024-07-17,15090,16630,15800,16630,31.1,2024,7,highTempSeason,No
2024-07-16,14949,15837,16500,15837,30.3,2024,7,highTempSeason,No
2024-07-15,14480,15535,16000,15535,30.9,2024,7,highTempSeason,No
2024-07-14,15600,16746,15900,16746,30.1,2024,7,highTempSeason,No
2024-07-13,14863,16225,14800,16225,29.1,2024,7,highTempSeason,No
2024-07-12,14255,16036,13500,16036,27.9,2024,7,highTempSeason,Yes
2024-07-11,13759,15012,15500,15012,29.4,2024,7,highTempSeason,No
2024-07-10,14436,15794,15800,15794,30.4,2024,7,highTempSeason,No
2024-07-09,14654,15732,15700,15732,29.5,2024,7,highTempSeason,No
2024-07-08,14310,15530,15500,15530,30.3,2024,7,highTempSeason,No
2024-07-07,15075,16076,15000,16076,30.3,2024,7,highTempSeason,No
2024-07-06,14406,15150,14500,15150,29.3,2024,7,highTempSeason,No
2024-07-05,14447,14980,13500,14980,28.2,2024,7,highTempSeason,Yes
2024-07-04,15300,15980,14500,15980,28.1,2024,7,highTempSeason,No
2024-07-03,15809,16697,14200,16697,27.9,2024,7,highTempSeason,No
2024-07-01,14087,14825,14300,14825,28.0,2024,7,highTempSeason,No
2024-06-30,13261,14029,15200,14029,28.3,2024,6,highTempSeason,No
2024-06-29,13624,14614,14000,14614,29.0,2024,6,highTempSeason,No
2024-06-28,13709,14555,14200,14555,29.1,2024,6,highTempSeason,Yes
2024-06-27,13952,14691,16000,14691,30.2,2024,6,highTempSeason,No
2024-06-26,13692,14520,15600,14520,29.7,2024,6,highTempSeason,No
2024-06-25,13186,14103,15700,14103,31.1,2024,6,highTempSeason,No
2024-06-23,15157,17026,15000,17026,30.8,2024,6,highTempSeason,No
2024-06-23,15157,17026,15000,17026,30.8,2024,6,highTempSeason,No
2024-06-22,14398,16274,13700,16274,29.4,2024,6,highTempSeason,No
2024-06-21,14340,16324,12000,16324,29.4,2024,6,highTempSeason,Yes
2024-06-20,14616,16048,12000,16048,27.1,2024,6,highTempSeason,No
2024-06-19,14565,16012,12500,16012,28.2,2024,6,highTempSeason,No
2024-06-18,15020,16760,13500,16760,29.9,2024,6,highTempSeason,No
2024-06-17,15093,16682,12500,16682,31.1,2024,6,highTempSeason,No
2024-06-16,14920,16170,13600,16170,30.8,2024,6,highTempSeason,No
2024-06-15,14603,16078,14600,16078,30.3,2024,6,highTempSeason,No
2024-06-14,14306,15759,14000,15759,28.6,2024,6,highTempSeason,Yes
2024-06-13,16013,17185,16400,17185,29.4,2024,6,highTempSeason,No
2024-06-12,15749,16836,16800,16836,31.5,2024,6,highTempSeason,No
2024-06-11,15571,16840,16500,16840,31.4,2024,6,highTempSeason,No
2024-06-10,15382,16659,15900,16659,28.3,2024,6,highTempSeason,No
2024-06-09,15064,16300,16900,16300,30.2,2024,6,highTempSeason,No
2024-06-08,14788,16402,15000,16402,30.4,2024,6,highTempSeason,No
2024-06-07,14376,16114,15000,16114,29.6,2024,6,highTempSeason,Yes
2024-06-06,14284,16076,15800,16076,29.5,2024,6,highTempSeason,No
2024-06-05,14195,15985,15900,15985,30.2,2024,6,highTempSeason,No
2024-06-03,14694,16121,16000,16121,30.5,2024,6,highTempSeason,No
2024-06-02,15081,16807,16500,16807,31.6,2024,6,highTempSeason,No
2024-06-01,14229,15987,15200,15987,31.5,2024,6,highTempSeason,No
2024-05-31,14335,16106,15000,16106,30.3,2024,5,highTempSeason,Yes
2024-05-30,14732,15897,15000,15897,31.4,2024,5,highTempSeason,No
2024-05-29,13558,15326,15000,15326,31.2,2024,5,highTempSeason,No
2024-05-28,11004,13704,12000,13704,28.5,2024,5,highTempSeason,No
2024-05-27,10255,12772,8500,12772,26.7,2024,5,highTempSeason,No
2024-05-26,14800,15838,15000,15838,29.9,2024,5,highTempSeason,No
2024-05-25,15954,17239,16300,17239,32.8,2024,5,highTempSeason,No
2024-05-24,14967,16376,15500,16376,33.0,2024,5,highTempSeason,Yes
2024-05-23,15537,16810,16000,16810,31.6,2024,5,highTempSeason,No
2024-05-23,15537,16810,16000,16810,31.6,2024,5,highTempSeason,No
2024-05-21,15620,17069,14600,17069,30.3,2024,5,highTempSeason,No
2024-05-20,15628,16950,15000,16950,28.0,2024,5,highTempSeason,No
2024-05-19,15617,16896,15000,16896,29.3,2024,5,highTempSeason,No
2024-05-18,15787,16818,14800,16818,28.4,2024,5,highTempSeason,No
2024-05-17,15258,16717,15600,16717,32.4,2024,5,highTempSeason,Yes
2024-05-16,15640,16686,16400,16686,32.6,2024,5,highTempSeason,No
2024-05-15,16383,17130,16000,17130,31.6,2024,5,highTempSeason,No
2024-05-14,16244,16954,16000,16954,31.0,2024,5,highTempSeason,No
2024-05-13,15296,16092,14800,16092,29.4,2024,5,highTempSeason,No
2024-05-12,15315,16958,13800,16958,28.1,2024,5,highTempSeason,No
2024-05-11,15077,17145,13000,17145,27.0,2024,5,highTempSeason,No
2024-05-10,14372,16632,12000,16632,29.1,2024,5,highTempSeason,Yes
2024-05-09,14353,16252,13000,16252,28.2,2024,5,highTempSeason,No
2024-05-08,15155,16678,13500,16678,26.9,2024,5,highTempSeason,No
2024-05-07,14313,16421,14000,16421,26.9,2024,5,highTempSeason,No
2024-05-06,14828,16789,14000,16789,25.1,2024,5,highTempSeason,No
2024-05-05,14855,16704,15000,16704,30.4,2024,5,highTempSeason,No
2024-05-04,15199,16951,15500,16951,32.0,2024,5,highTempSeason,No
2024-05-03,15266,17276,16000,17276,31.2,2024,5,highTempSeason,Yes
2024-05-02,15609,17442,17000,17442,33.2,2024,5,highTempSeason,No
2024-05-01,15535,16882,16200,16882,33.6,2024,5,highTempSeason,No
2024-04-30,15191,16667,17300,16667,33.0,2024,4,highTempSeason,No
2024-04-29,14425,16890,17200,16890,33.8,2024,4,highTempSeason,No
2024-04-28,16160,17213,16900,17213,33.0,2024,4,highTempSeason,No
2024-04-27,15950,16908,16600,16908,32.2,2024,4,highTempSeason,No
2024-04-26,15933,16878,16000,16878,32.6,2024,4,highTempSeason,Yes
2024-04-25,16463,17492,16800,17492,33.2,2024,4,highTempSeason,No
2024-04-24,15774,16915,16800,16915,33.2,2024,4,highTempSeason,No
2024-04-23,15606,16530,16800,16530,32.8,2024,4,highTempSeason,No
2024-04-22,15526,16697,16200,16697,32.7,2024,4,highTempSeason,No
2024-04-21,15510,16660,16200,16660,32.5,2024,4,highTempSeason,No
2024-04-20,14929,16246,15500,16246,33.3,2024,4,highTempSeason,No
2024-04-19,15382,16980,14800,16980,32.4,2024,4,highTempSeason,Yes
2024-04-18,15189,16568,15000,16568,30.2,2024,4,highTempSeason,No
2024-04-17,15124,16411,14700,16411,29.7,2024,4,highTempSeason,No
2024-04-16,14030,15890,15000,15890,30.5,2024,4,highTempSeason,No
2024-04-15,14471,15543,14000,15543,32.0,2024,4,highTempSeason,No
2024-04-14,13852,15514,12800,15514,31.1,2024,4,highTempSeason,No
2024-04-13,14425,15709,12800,15709,31.0,2024,4,highTempSeason,No
2024-04-12,14409,15827,11800,15827,31.0,2024,4,highTempSeason,Yes
2024-04-11,14761,15897,11300,15897,29.6,2024,4,highTempSeason,No
2024-04-10,14877,15548,12800,15548,29.0,2024,4,highTempSeason,No
2024-04-09,14642,15580,12500,15580,28.2,2024,4,highTempSeason,No
2024-04-08,14056,15568,14300,15568,27.3,2024,4,highTempSeason,No
2024-04-07,13738,15201,15200,15201,28.5,2024,4,highTempSeason,No
2024-04-06,13195,15048,15500,15048,31.0,2024,4,highTempSeason,No
2024-04-05,13189,14692,15300,14692,29.5,2024,4,highTempSeason,Yes
2024-04-04,13382,14782,15000,14782,30.2,2024,4,highTempSeason,No
2024-04-03,12997,14344,15300,14344,30.6,2024,4,highTempSeason,No
2024-04-02,12652,14204,14700,14204,29.9,2024,4,highTempSeason,No
2024-04-01,12170,13740,14200,13740,30.2,2024,4,highTempSeason,No
2024-03-31,11970,13440,13800,13440,27.5,2024,3,highTempSeason,No
2024-03-30,12062,14102,12500,14102,29.2,2024,3,highTempSeason,No
2024-03-29,12404,13708,11200,13708,26.8,2024,3,highTempSeason,Yes
2024-03-28,12186,13585,13300,13585,26.2,2024,3,highTempSeason,No
2024-03-27,12127,13377,12700,13377,27.0,2024,3,highTempSeason,No
2024-03-26,12085,13315,11500,13315,26.9,2024,3,highTempSeason,No
2024-03-25,12023,13325,12500,13325,26.6,2024,3,highTempSeason,No
2024-03-24,11733,13210,12200,13210,24.4,2024,3,highTempSeason,No
2024-03-23,11639,13143,12000,13143,25.7,2024,3,highTempSeason,No
2024-03-22,11916,13365,10700,13365,23.4,2024,3,highTempSeason,Yes
2024-03-21,12224,13717,11500,13717,22.5,2024,3,highTempSeason,No
2024-03-20,12189,13817,12500,13817,23.3,2024,3,highTempSeason,No
2024-03-19,12057,13662,13600,13662,26.7,2024,3,highTempSeason,No
2024-03-18,12266,13834,13300,13834,27.9,2024,3,highTempSeason,No
2024-03-17,11451,12831,12800,12831,27.3,2024,3,highTempSeason,No
2024-03-16,11892,13333,12600,13333,28.1,2024,3,highTempSeason,No
2024-03-15,11729,13221,11800,13221,27.4,2024,3,highTempSeason,Yes
2024-03-14,12583,14206,13000,14206,26.8,2024,3,highTempSeason,No
2024-03-13,11960,13474,12700,13474,28.2,2024,3,highTempSeason,No
2024-03-12,12495,13198,12700,13198,26.5,2024,3,highTempSeason,No
2024-03-11,12696,13179,12300,13179,25.0,2024,3,highTempSeason,No
2024-03-10,12530,13131,12300,13131,23.9,2024,3,highTempSeason,No
2024-03-09,12205,12694,11600,12694,24.0,2024,3,highTempSeason,No
2024-03-08,12742,13258,11000,13258,23.9,2024,3,highTempSeason,Yes
2024-03-07,13004,13859,12250,13859,23.5,2024,3,highTempSeason,No
2024-03-06,13118,13503,12300,13503,23.6,2024,3,highTempSeason,No
2024-03-05,12644,13635,12000,13635,25.4,2024,3,highTempSeason,No
2024-03-04,12090,13609,12000,13609,24.1,2024,3,highTempSeason,No
2024-03-03,12480,12962,11800,12962,24.9,2024,3,highTempSeason,No
2024-03-02,12117,12826,11300,12826,24.3,2024,3,highTempSeason,No
2024-03-01,11881,12615,11000,12615,24.7,2024,3,highTempSeason,Yes
2024-02-29,12631,12993,11600,12993,24.4,2024,2,lowTempSeason,No
2024-02-28,11997,12210,11500,12210,24.0,2024,2,lowTempSeason,No
2024-02-27,11230,12219,11400,12219,22.9,2024,2,lowTempSeason,No
2024-02-26,11247,12703,10000,12703,22.5,2024,2,lowTempSeason,No
2024-02-25,11219,12381,11500,12381,22.2,2024,2,lowTempSeason,No
2024-02-24,11308,12423,11250,12423,23.5,2024,2,lowTempSeason,No
2024-02-23,10951,11832,10500,11832,22.5,2024,2,lowTempSeason,Yes
2024-02-22,11809,12291,11000,12291,23.8,2024,2,lowTempSeason,No
2024-02-21,11815,12456,11000,12456,25.7,2024,2,lowTempSeason,No
2024-02-20,11790,12297,11700,12297,23.9,2024,2,lowTempSeason,No
2024-02-19,10719,11750,11500,11750,23.4,2024,2,lowTempSeason,No
2024-02-18,11217,12236,11400,12236,22.4,2024,2,lowTempSeason,No
2024-02-17,11135,12201,11000,12201,22.6,2024,2,lowTempSeason,No
2024-02-16,11168,11803,10300,11803,23.8,2024,2,lowTempSeason,Yes
2024-02-15,11373,12054,11000,12054,23.9,2024,2,lowTempSeason,No
2024-02-14,11281,12246,11000,12246,22.5,2024,2,lowTempSeason,No
2024-02-13,11394,12276,11300,12276,22.1,2024,2,lowTempSeason,No
2024-02-12,11048,12383,11500,12383,22.1,2024,2,lowTempSeason,No
2024-02-11,10960,12377,11000,12377,21.3,2024,2,lowTempSeason,No
2024-02-10,11223,12455,10800,12455,20.5,2024,2,lowTempSeason,No
2024-02-09,11942,13183,10000,13183,19.4,2024,2,lowTempSeason,Yes
2024-02-08,11056,12615,11200,12615,19.4,2024,2,lowTempSeason,No
2024-02-07,10571,12107,11000,12107,21.2,2024,2,lowTempSeason,No
2024-02-06,10021,10995,10900,10995,21.4,2024,2,lowTempSeason,No
2024-02-05,10188,11007,10900,11007,21.0,2024,2,lowTempSeason,No
2024-02-04,10181,10986,10800,10986,20.6,2024,2,lowTempSeason,No
2024-02-03,10484,11340,10300,11340,21.1,2024,2,lowTempSeason,No
2024-02-02,10401,11091,10300,11091,21.5,2024,2,lowTempSeason,Yes
2024-02-01,10520,11300,10850,11300,21.3,2024,2,lowTempSeason,No
2024-01-29,11135,11703,10700,11703,18.2,2024,1,lowTempSeason,No
2024-01-29,11135,11703,10700,11703,18.2,2024,1,lowTempSeason,No
2024-01-27,10507,11216,10000,11216,17.4,2024,1,lowTempSeason,No
2024-01-26,10570,11416,9700,11416,18.6,2024,1,lowTempSeason,Yes
2024-01-25,10316,11308,10800,11308,18.4,2024,1,lowTempSeason,No
2024-01-24,10583,10818,10800,10818,16.9,2024,1,lowTempSeason,No
2024-01-23,10377,11008,10600,11008,15.8,2024,1,lowTempSeason,No
2024-01-22,10330,11175,10800,11175,14.0,2024,1,lowTempSeason,No
2024-01-22,10330,11175,10800,11175,14.0,2024,1,lowTempSeason,No
2024-01-22,10330,11175,10800,11175,14.0,2024,1,lowTempSeason,No
2024-01-21,9531,10608,10900,10608,17.0,2024,1,lowTempSeason,No
2024-01-20,10060,10725,10600,10725,17.7,2024,1,lowTempSeason,No
2024-01-19,10088,11006,10300,11006,19.4,2024,1,lowTempSeason,Yes
2024-01-18,10923,11822,10700,11822,16.7,2024,1,lowTempSeason,No
2024-01-17,10539,11559,10600,11559,14.8,2024,1,lowTempSeason,No
2024-01-16,10042,11269,10600,11269,15.5,2024,1,lowTempSeason,No
2024-01-15,10012,10864,10600,10864,17.3,2024,1,lowTempSeason,No
2024-01-14,10476,11400,10600,11400,15.9,2024,1,lowTempSeason,No
2024-01-13,11156,11963,10300,11963,15.9,2024,1,lowTempSeason,No
2024-01-12,10470,11411,9300,11411,15.7,2024,1,lowTempSeason,Yes
2024-01-10,10772,11780,10000,11780,18.3,2024,1,lowTempSeason,No
2024-01-09,10797,11878,10000,11878,19.0,2024,1,lowTempSeason,No
2024-01-08,10104,11492,10500,11492,19.8,2024,1,lowTempSeason,No
2024-01-07,10100,12011,9000,12011,20.4,2024,1,lowTempSeason,No
2024-01-06,10567,11656,9700,11656,19.8,2024,1,lowTempSeason,No
2024-01-05,11051,11881,10000,11881,17.5,2024,1,lowTempSeason,Yes
2024-01-04,10992,11819,10200,11819,18.4,2024,1,lowTempSeason,No
2023-12-31,10738,11775,10500,11775,19.7,2023,12,lowTempSeason,No
2023-12-29,10542,11490,10200,11490,22.3,2023,12,lowTempSeason,Yes
2023-12-28,10724,11610,10600,11610,22.2,2023,12,lowTempSeason,No
2023-12-27,10846,11896,10500,11896,22.0,2023,12,lowTempSeason,No
2023-12-26,11015,11816,10200,11816,21.7,2023,12,lowTempSeason,No
2023-12-25,10912,11580,10000,11580,21.9,2023,12,lowTempSeason,No
2023-12-24,10602,11895,10200,11895,21.7,2023,12,lowTempSeason,No
2023-12-23,10517,11779,9500,11779,21.6,2023,12,lowTempSeason,No
2023-12-22,11018,12311,9600,12311,22.0,2023,12,lowTempSeason,Yes
2023-12-21,11198,11956,10000,11956,21.9,2023,12,lowTempSeason,No
2023-12-20,10880,11927,10300,11927,21.1,2023,12,lowTempSeason,No
2023-12-19,11040,12132,10500,12132,20.8,2023,12,lowTempSeason,No
2023-12-18,10490,11734,9800,11734,21.1,2023,12,lowTempSeason,No
