Date,DayPeakGen(MW),EveningPeakGen(MW),MaxDemand(MW),MaxGen(MW),Temp(C),Year,Month,Season,IsHoliday
2024-12-31,14543,14949,10600,14949,18.7,2024,12,lowTempSeason,No
2024-12-31,10596,11883,10100,11883,18.7,2024,12,lowTempSeason,No
2024-12-30,13760,15475,10800,15475,21.8,2024,12,lowTempSeason,No
2024-12-29,14372,14729,10800,14729,21.2,2024,12,lowTempSeason,No
2024-12-28,14138,14492,9850,14492,21.2,2024,12,lowTempSeason,No
2024-12-27,13791,14419,10600,14419,21.4,2024,12,lowTempSeason,Yes
2024-12-26,13645,14092,10600,14092,21.9,2024,12,lowTempSeason,No
2024-12-25,12982,13683,10500,13683,21.2,2024,12,lowTempSeason,No
2024-12-24,12696,13349,10700,13349,20.5,2024,12,lowTempSeason,No
2024-12-23,12705,13515,10700,13515,20.4,2024,12,lowTempSeason,No
2024-12-22,13489,14032,10600,14032,19.8,2024,12,lowTempSeason,No
2024-12-21,13239,13812,9200,13812,20.1,2024,12,lowTempSeason,No
2024-12-21,13165,13670,9800,13670,20.1,2024,12,lowTempSeason,No
2024-12-19,13642,14223,10500,14223,20.3,2024,12,lowTempSeason,No
2024-12-19,13397,14157,10500,14157,20.3,2024,12,lowTempSeason,No
2024-12-17,12971,13722,10250,13722,20.9,2024,12,lowTempSeason,No
2024-12-16,12495,13296,9500,13296,19.9,2024,12,lowTempSeason,No
2024-12-15,13411,13833,10200,13833,19.4,2024,12,lowTempSeason,No
2024-12-14,12658,13256,10000,13256,18.8,2024,12,lowTempSeason,No
2024-12-13,12722,13521,10000,13521,18.5,2024,12,lowTempSeason,Yes
2024-12-12,13201,13840,10300,13840,16.8,2024,12,lowTempSeason,No
2024-12-11,12740,13314,10300,13314,19.0,2024,12,lowTempSeason,No
2024-12-10,13235,13745,10300,13745,20.6,2024,12,lowTempSeason,No
2024-12-09,13192,13757,10600,13757,20.3,2024,12,lowTempSeason,No
2024-12-08,12646,13341,10800,13341,20.5,2024,12,lowTempSeason,No
2024-12-07,12300,13200,10000,13200,20.8,2024,12,lowTempSeason,No
2024-12-06,12157,12855,9500,12855,21.3,2024,12,lowTempSeason,Yes
2024-12-05,12757,13455,10900,13455,22.6,2024,12,lowTempSeason,No
2024-12-04,12562,13262,11200,13262,22.5,2024,12,lowTempSeason,No
2024-12-03,12490,13220,10800,13220,23.5,2024,12,lowTempSeason,No
2024-12-02,12922,13607,10900,13607,23.5,2024,12,lowTempSeason,No
2024-12-01,13306,14080,10900,14080,23.9,2024,12,lowTempSeason,No
2024-11-30,13210,13990,10600,13990,24.2,2024,11,lowTempSeason,No
2024-11-29,13564,14206,9200,14206,24.9,2024,11,lowTempSeason,Yes
2024-11-28,13305,13564,10800,13564,23.6,2024,11,lowTempSeason,No
2024-11-27,13263,14013,10800,14013,23.1,2024,11,lowTempSeason,No
2024-11-26,13049,13778,10600,13778,22.7,2024,11,lowTempSeason,No
2024-11-25,13438,14393,10700,14393,22.9,2024,11,lowTempSeason,No
2024-11-24,12657,13187,11000,13187,23.5,2024,11,lowTempSeason,No
2024-11-23,12837,13187,10500,13187,24.1,2024,11,lowTempSeason,No
2024-11-22,12527,13325,10800,13325,23.8,2024,11,lowTempSeason,Yes
2024-11-21,12703,13298,11000,13298,23.7,2024,11,lowTempSeason,No
2024-11-20,12150,12715,11500,12715,23.9,2024,11,lowTempSeason,No
2024-11-19,12769,13158,11100,13158,24.2,2024,11,lowTempSeason,No
2024-11-18,12832,13453,11300,13453,23.8,2024,11,lowTempSeason,No
2024-11-17,12795,13684,11800,13684,24.3,2024,11,lowTempSeason,No
2024-11-15,12072,13315,11500,13315,25.6,2024,11,lowTempSeason,Yes
2024-11-14,11859,13141,12400,13141,26.2,2024,11,lowTempSeason,No
2024-11-13,12588,13213,12800,13213,26.3,2024,11,lowTempSeason,No
2024-11-12,12010,12850,12550,12850,27.3,2024,11,lowTempSeason,No
2024-11-11,12229,12962,12500,12962,27.2,2024,11,lowTempSeason,No
2024-11-10,12095,12812,13000,12812,26.7,2024,11,lowTempSeason,No
2024-11-09,12730,13801,12000,13801,26.5,2024,11,lowTempSeason,No
2024-11-08,12321,13493,12000,13493,26.9,2024,11,lowTempSeason,Yes
2024-11-07,12110,13535,13000,13535,26.5,2024,11,lowTempSeason,No
2024-11-06,12069,13807,13000,13807,25.3,2024,11,lowTempSeason,No
2024-11-05,12569,14022,13500,14022,27.7,2024,11,lowTempSeason,No
2024-11-04,12479,13974,13500,13974,27.9,2024,11,lowTempSeason,No
2024-11-03,12085,13476,14000,13476,27.8,2024,11,lowTempSeason,No
2024-11-02,12008,13162,13000,13162,28.2,2024,11,lowTempSeason,No
2024-11-01,12189,13366,13200,13366,28.8,2024,11,lowTempSeason,Yes
2024-11-01,12189,13366,13200,13366,28.8,2024,11,lowTempSeason,Yes
2024-10-31,12010,13171,14000,13171,29.2,2024,10,highTempSeason,No
2024-10-30,12305,13623,14000,13623,29.3,2024,10,highTempSeason,No
2024-10-29,12904,14041,14800,14041,28.8,2024,10,highTempSeason,No
2024-10-28,13086,14186,14300,14186,29.2,2024,10,highTempSeason,No
2024-10-27,12904,14073,14300,14073,28.9,2024,10,highTempSeason,No
2024-10-26,12796,13792,13200,13792,28.6,2024,10,highTempSeason,No
2024-10-25,12784,13677,11000,13677,27.4,2024,10,highTempSeason,Yes
2024-10-24,13319,14218,12800,14218,25.2,2024,10,highTempSeason,No
2024-10-23,13494,14651,14650,14651,28.0,2024,10,highTempSeason,No
2024-10-22,13651,14851,14500,14851,29.5,2024,10,highTempSeason,No
2024-10-21,13576,14732,13800,14732,28.1,2024,10,highTempSeason,No
2024-10-20,13827,14787,13800,14787,27.8,2024,10,highTempSeason,No
2024-10-19,13283,14360,13700,14360,28.0,2024,10,highTempSeason,No
2024-10-18,13889,14830,12800,14830,26.9,2024,10,highTempSeason,Yes
2024-10-17,13608,14614,14300,14614,27.8,2024,10,highTempSeason,No
2024-10-16,13181,14894,14500,14894,28.7,2024,10,highTempSeason,No
2024-10-15,13394,14693,14400,14693,28.5,2024,10,highTempSeason,No
2024-10-14,13346,14854,15000,14854,28.9,2024,10,highTempSeason,No
2024-10-13,13409,15020,14500,15020,29.1,2024,10,highTempSeason,No
2024-10-12,13630,15227,14000,15227,28.4,2024,10,highTempSeason,No
2024-10-11,13156,14798,14000,14798,28.6,2024,10,highTempSeason,Yes
2024-10-10,13443,14579,13500,14579,28.1,2024,10,highTempSeason,No
2024-10-09,13550,14985,14500,14985,27.4,2024,10,highTempSeason,No
2024-10-08,13807,15000,15000,15000,28.3,2024,10,highTempSeason,No
2024-10-07,14332,15535,15000,15535,28.3,2024,10,highTempSeason,No
2024-10-06,14218,15415,14500,15415,28.7,2024,10,highTempSeason,No
2024-10-05,13647,15330,12500,15330,26.1,2024,10,highTempSeason,No
2024-10-04,13946,15227,13000,15227,27.2,2024,10,highTempSeason,Yes
2024-10-03,13788,15030,14500,15030,26.8,2024,10,highTempSeason,No
2024-10-02,14005,15202,15400,15202,28.9,2024,10,highTempSeason,No
2024-10-01,14085,15299,15200,15299,29.0,2024,10,highTempSeason,No
2024-09-30,14808,16327,15500,16327,29.3,2024,9,highTempSeason,No
2024-09-29,15385,16444,15500,16444,29.6,2024,9,highTempSeason,No
2024-09-28,14928,16339,13500,16339,29.5,2024,9,highTempSeason,No
2024-09-27,14708,16228,13200,16228,27.4,2024,9,highTempSeason,Yes
2024-09-26,14647,16122,14000,16122,26.0,2024,9,highTempSeason,No
2024-09-25,15033,16474,14000,16474,27.0,2024,9,highTempSeason,No
2024-09-24,14939,16563,15600,16563,30.4,2024,9,highTempSeason,No
2024-09-23,14708,15869,16300,15869,31.5,2024,9,highTempSeason,No
2024-09-22,14773,15760,15900,15760,30.7,2024,9,highTempSeason,No
