File_Name,Report_Date,Day_ProbPeakGen(MW),Evening_ProbPeakGen(MW),ProbMaxDemand(MW),ProbMaxGen(MW)
7170report.pdf,14.09.23,13907,15643,15000,15643
6947report.pdf,25.05.23,12907,14866,13500,14866
4942report.pdf,29.08.20,13142,14184,11500,14184
6389report.pdf,19.08.22,11364,13613,13600,13613
4804report.pdf,21.06.20,13413,14867,12000,14867
6206report.pdf,20.05.22,14760,15307,12700,15307
6212report.pdf,23.05.22,14133,14732,14000,14732
4810report.pdf,24.06.20,12670,14790,12000,14790
4398report.pdf,27.11.19,12105,14594,9100,14594
4956report.pdf,05.09.20,13939,14876,12500,14876
6162report.pdf,30.04.22,14624,15410,14000,15410
5950report.pdf,15.01.22,11266,12072,9300,12072
5999report.pdf,07.02.22,11460,12267,9700,12267
7164report.pdf,11.09.23,13960,15505,15500,15505
summary_20241208_20241209125800.pdf,08.12.24,12646,13341,10800,13341
7352report.pdf,14.12.23,10686,11540,10500,11540
7508report.pdf,28.02.24,11997,12210,11500,12210
7022report.pdf,02.07.23,12549,14653,11800,14653
5211report.pdf,10.01.21,12459,13631,9500,13631
6118report.pdf,08.04.22,14058,14781,13600,14781
6268report.pdf,20.06.22,13358,14718,12700,14718
5094report.pdf,13.11.20,13030,14216,10000,14216
7572report.pdf,31.03.24,11970,13440,13800,13440
5741report.pdf,02.10.21,13587,14718,13000,14718
7434report.pdf,25.01.24,10316,11308,10800,11308
7602report.pdf,15.04.24,14471,15543,14000,15543
7328report.pdf,02.12.23,11189,13655,10500,13655
6834report.pdf,30.03.23,12840,13971,12500,13971
6719report.pdf,31.01.23,9568,10834,10500,10834
6469report.pdf,28.09.22,12103,13264,14300,13264
5376report.pdf,03.04.21,14768,15846,12800,15846
7373report.pdf,24.12.23,10602,11895,10200,11895
7690report.pdf,29.05.24,13558,15326,15000,15326
7659report.pdf,13.05.24,15296,16092,14800,16092
5140report.pdf,06.12.20,12155,13453,9200,13453
5189report.pdf,30.12.20,11800,13053,9000,13053
7145report.pdf,01.09.23,13333,14955,14500,14955
5837report.pdf,19.11.21,12888,14484,9000,14484
7529report.pdf,09.03.24,12205,12694,11600,12694
4416report.pdf,09.12.19,11390,13990,8700,13990
summary_20241130_20241201103125.pdf,30.11.24,13210,13990,10600,13990
6625report.pdf,15.12.22,8854,11242,10000,11242
4882report.pdf,30.07.20,13191,14795,11500,14795
6555report.pdf,10.11.22,10189,11562,11300,11562
