ReportDate,IsHoliday,DayOfWeek,ProbableMaxDemand_MW_Forecast,ProbableMaxGeneration_MW_Forecast,GrossTotal_ProbableDayPeakGeneration_MW,GrossTotal_ProbableEveningPeakGeneration_MW
2020-04-20,No,Monday,9000.0,15833.0,13035.0,15833.0
2020-04-21,No,Tuesday,8800.0,15651.0,12853.0,15651.0
2020-04-22,No,Wednesday,8500.0,15600.0,12650.0,15600.0
2020-04-23,No,Thursday,8700.0,15491.0,12554.0,15491.0
2020-04-24,Yes,Friday,8500.0,15202.0,12283.0,15202.0
2020-04-25,No,Saturday,8500.0,15309.0,12290.0,15309.0
2020-04-26,No,Sunday,8500.0,15045.0,12036.0,15045.0
2020-04-27,No,Monday,8500.0,15040.0,11960.0,15040.0
2020-04-28,No,Tuesday,9000.0,15123.0,12156.0,15123.0
2020-04-29,No,Wednesday,9000.0,15152.0,12210.0,15152.0
2020-04-30,No,Thursday,9200.0,15032.0,12094.0,15032.0
2020-05-01,Yes,Friday,8500.0,15102.0,12149.0,15102.0
2020-05-02,No,Saturday,8800.0,14809.0,11874.0,14809.0
2020-05-03,No,Sunday,9000.0,14956.0,12229.0,14956.0
2020-05-04,No,Monday,9800.0,14958.0,12231.0,14958.0
2020-05-05,No,Tuesday,10800.0,15360.0,12024.0,15360.0
2020-05-06,No,Wednesday,8500.0,14620.0,11531.0,14620.0
2020-05-07,No,Thursday,9500.0,14745.0,11770.0,14745.0
2020-05-08,Yes,Friday,8500.0,15014.0,12271.0,15014.0
2020-05-09,No,Saturday,10000.0,14853.0,12101.0,14853.0
2020-05-10,No,Sunday,11000.0,15587.0,12615.0,15587.0
2020-05-11,No,Monday,10600.0,15922.0,13035.0,15922.0
2020-05-12,No,Tuesday,12000.0,15350.0,12725.0,15350.0
2020-05-13,No,Wednesday,12000.0,14710.0,12897.0,14710.0
2020-05-14,No,Thursday,11500.0,14697.0,12873.0,14697.0
