Report_Date,Day_ProbPeakGen(MW),Evening_ProbPeakGen(MW),ProbMaxDemand(MW),ProbMaxGen(MW),tempmax,tempmin,temp,feelslike,humidity
2022-03-21,13549,14062,13300,14062,35.0,25.0,29.5,31.0,57.5
2022-03-20,13558,13987,12900,13987,35.0,26.0,30.3,31.5,51.6
2022-03-19,13272,14043,11500,14043,35.0,24.0,29.8,31.0,55.0
2022-03-18,13036,13600,12000,13600,36.0,24.0,29.8,31.0,55.0
2022-03-17,13217,13674,12400,13674,36.0,24.0,29.3,30.2,55.9
2022-03-16,12313,12903,12300,12903,35.0,24.0,29.4,30.1,55.4
2022-03-15,11916,12391,12100,12391,36.0,24.0,29.3,29.9,53.2
2022-03-14,12499,13055,12400,13055,34.0,23.0,28.7,29.8,57.1
2022-03-13,12691,13132,12500,13132,34.0,23.0,28.3,28.6,52.0
2022-03-12,12545,12984,11100,12984,35.0,23.0,28.3,28.7,55.2
2022-03-11,12478,13053,11000,13053,36.0,22.0,28.9,29.7,54.4
2022-03-10,12882,13488,12000,13488,36.0,22.0,28.3,28.7,54.8
2022-03-09,12816,13480,12000,13480,33.0,23.0,28.3,29.2,57.4
2022-03-08,12645,13340,11700,13340,33.0,22.0,27.6,28.0,56.9
2022-03-07,12884,13494,11500,13494,34.0,22.0,27.3,27.5,58.5
2022-03-06,12246,12790,11400,12790,34.0,22.0,27.5,27.4,53.0
2022-03-05,12042,12720,10500,12720,31.0,23.0,26.7,26.7,52.1
2022-03-04,11959,12360,10000,12360,31.0,21.0,26.2,26.5,58.0
2022-03-03,11775,12360,10800,12360,30.0,22.0,26.2,26.1,52.9
2022-03-02,12017,12512,10900,12512,32.0,22.0,26.3,26.3,57.1
2022-03-01,11982,12562,11000,12562,32.0,22.0,26.3,26.3,57.2
2022-02-28,11896,12463,10400,12463,32.0,21.0,25.9,26.2,62.1
2022-02-27,11839,12431,10500,12431,31.0,21.0,26.0,26.4,64.0
2022-02-26,11850,12615,10400,12615,31.0,22.0,25.9,26.0,60.0
2022-02-25,11728,12248,9300,12248,30.0,21.0,24.4,24.5,67.9
2022-02-24,12050,12650,10500,12650,31.0,19.0,25.0,25.5,64.7
2022-02-23,11722,12218,10100,12218,29.0,19.0,23.5,23.5,59.6
2022-02-22,11538,12170,10100,12170,27.0,17.0,22.6,22.6,61.3
2022-02-21,11888,12555,9200,12555,28.1,17.0,22.4,22.4,64.2
2022-02-20,12064,12703,10600,12703,27.0,18.0,21.9,21.9,65.6
2022-02-19,11928,12656,10100,12656,29.0,17.0,22.9,22.8,56.5
2022-02-18,11920,12423,9000,12423,29.0,18.0,22.6,22.4,57.0
2022-02-17,12030,12526,10000,12526,28.0,16.0,22.1,22.1,62.4
2022-02-16,11871,12369,10250,12369,27.0,17.0,22.5,22.6,64.9
2022-02-15,11493,12387,10000,12387,28.0,17.0,22.9,22.9,61.6
2022-02-14,12018,12576,10000,12576,28.0,16.0,21.8,21.8,59.4
2022-02-13,11879,12595,10300,12595,26.0,17.0,21.2,21.2,56.7
2022-02-12,12051,12787,9600,12787,25.0,15.0,20.3,20.3,65.4
2022-02-11,11870,12580,9500,12580,25.0,17.0,20.2,20.2,73.9
2022-02-10,11840,12445,9800,12445,21.0,16.0,19.1,19.1,78.3
2022-02-09,11980,12649,10000,12649,25.0,16.0,20.8,20.8,62.2
2022-02-08,11967,12674,9800,12674,24.0,15.0,20.1,20.1,62.6
2022-02-07,11460,12267,9700,12267,24.0,15.0,19.5,19.5,66.2
2022-02-06,11852,12677,10000,12677,22.0,15.0,18.7,18.7,68.3
2022-02-05,11706,12484,9100,12484,25.0,16.0,20.0,20.0,68.4
2022-02-04,11754,12447,8500,12447,25.0,17.0,19.4,19.4,82.3
2022-02-03,11511,12204,10200,12204,26.0,17.0,21.9,21.9,67.2
2022-02-02,11112,11752,10000,11752,27.0,16.0,21.7,21.7,64.1
2022-02-01,11235,12010,10000,12010,25.0,14.0,20.0,20.0,67.4
2022-01-31,11220,11955,10000,11955,25.0,15.0,19.8,19.8,74.8
2022-01-30,11577,12401,10200,12401,24.0,13.0,18.3,18.3,66.2
2022-01-29,11516,12341,9800,12341,22.0,12.0,17.3,17.3,64.8
2022-01-28,11423,12218,8800,12218,24.0,15.0,19.4,19.4,65.1
2022-01-27,11320,12140,10200,12140,24.0,17.0,20.0,20.0,73.1
2022-01-26,11408,12076,10200,12076,24.0,17.0,20.8,20.8,78.1
2022-01-25,11489,12117,10000,12117,24.0,17.0,20.8,20.8,71.1
2022-01-24,11469,12107,9800,12107,25.1,18.0,21.2,21.2,70.8
2022-01-23,11383,12030,9750,12030,25.0,17.0,21.0,21.0,72.2
2022-01-22,11750,12470,9800,12470,24.0,16.0,20.4,20.4,73.6
2022-01-21,11635,12375,8800,12375,24.0,16.0,20.1,20.1,73.2
2022-01-20,11590,12255,10000,12255,25.0,15.0,19.7,19.7,72.5
2022-01-19,11530,12186,10000,12186,26.0,17.0,20.8,20.8,67.9
2022-01-18,11514,12165,9900,12165,26.0,16.0,20.8,20.8,67.3
2022-01-17,11290,11965,9900,11965,25.0,16.0,20.5,20.5,69.6
2022-01-16,11399,12077,9800,12077,25.0,17.0,20.8,20.8,68.2
2022-01-15,11266,12072,9300,12072,25.0,18.0,20.7,20.7,71.6
2022-01-14,10929,11767,8600,11767,23.0,18.0,20.3,20.3,72.4
2022-01-13,10606,11511,9900,11511,27.0,19.0,22.6,22.6,66.8
2022-01-12,10255,11250,9850,11250,24.0,20.0,21.9,21.9,71.2
2022-01-11,10930,11767,9900,11767,27.0,19.0,23.1,23.2,70.3
2022-01-10,11116,11907,9600,11907,28.0,18.0,23.1,23.1,65.3
2022-01-09,10881,11677,9800,11677,27.1,17.0,22.1,22.1,66.9
2022-01-08,11197,12061,9200,12061,28.0,18.0,22.5,22.6,67.0
2022-01-07,11240,12210,8500,12210,29.0,18.0,22.5,22.7,70.4
2022-01-06,11582,12473,9500,12473,25.0,15.0,19.9,19.9,75.8
2022-01-05,11458,12501,9500,12501,25.0,14.0,19.7,19.7,79.5
2022-01-04,11089,11982,9300,11982,25.0,16.0,20.6,20.6,71.5
2022-01-03,11556,12813,9000,12813,26.0,16.0,20.8,20.8,70.3
2022-01-03,11052,11967,9300,11967,26.0,16.0,20.8,20.8,70.3
2022-01-02,11165,12090,9600,12090,23.0,15.0,19.9,19.9,77.1
2022-01-01,11496,12422,9200,12422,26.0,16.0,20.4,20.4,68.7
2021-12-31,11219,12355,8500,12355,27.0,17.0,22.4,22.4,60.0
2021-12-30,10918,12076,9500,12076,26.0,18.0,21.9,21.9,65.0
2021-12-29,11383,12253,9500,12253,25.0,18.0,21.7,21.7,66.2
2021-12-28,11433,12361,9800,12361,26.0,16.0,21.8,21.8,66.6
2021-12-27,11613,12950,9800,12950,26.0,18.0,21.9,21.9,66.8
2021-12-26,11778,13215,9500,13215,27.0,17.0,22.2,22.2,66.0
2021-12-25,11796,13034,9200,13034,26.0,17.0,22.3,22.3,64.8
2021-12-24,11262,12635,8300,12635,26.0,17.0,21.6,21.6,69.0
2021-12-23,11075,12470,9400,12470,24.0,16.0,20.5,20.5,71.5
2021-12-22,11720,13080,9500,13080,24.0,18.0,20.9,20.9,70.5
2021-12-21,11600,12966,9200,12966,25.0,15.0,20.3,20.3,67.8
2021-12-20,11731,12929,9200,12929,24.0,14.0,19.8,19.8,64.6
2021-12-19,11962,13282,9300,13282,27.0,18.0,21.6,21.6,66.1
2021-12-18,11721,13055,9100,13055,27.0,17.0,21.9,22.0,70.7
2021-12-17,11456,12792,8300,12792,28.0,19.0,23.0,23.2,70.2
2021-12-16,11807,13138,8600,13138,29.0,17.0,22.7,22.7,65.8
2021-12-15,11355,13042,9200,13042,26.0,17.0,22.3,22.3,67.5
2021-12-14,11842,13176,9600,13176,26.0,17.0,22.2,22.2,70.1
2021-12-13,11768,13104,9600,13104,26.0,17.0,22.0,22.0,69.3
2021-12-12,11640,12980,9800,12980,27.0,21.0,23.4,23.5,69.6
2021-12-11,12096,13484,9000,13484,28.0,19.0,23.6,23.7,65.7
2021-12-10,11559,12992,8500,12992,28.0,22.0,24.7,24.7,65.3
2021-12-09,11950,13400,9700,13400,29.0,20.0,25.0,25.3,69.0
2021-12-08,11700,13060,9700,13060,29.0,18.0,24.3,24.5,69.8
2021-12-07,11795,13171,9200,13171,26.0,21.0,23.2,23.2,81.1
2021-12-06,11755,13078,9500,13078,23.0,20.0,21.5,21.5,90.3
2021-12-05,11581,12926,9600,12926,24.0,22.0,23.1,23.1,80.5
2021-12-04,11140,12415,9000,12415,27.0,21.0,24.4,24.6,68.3
2021-12-03,11040,12380,9000,12380,29.0,19.0,25.1,25.2,61.8
2021-12-02,12492,13781,9700,13781,30.0,21.0,25.8,26.1,65.7
2021-12-01,12330,13760,9600,13760,31.0,18.7,25.2,25.4,63.1
2021-11-30,12509,13923,9300,13923,30.0,19.0,24.1,24.3,65.8
2021-11-29,11868,13301,9300,13301,29.1,19.6,24.3,24.4,65.4
2021-11-28,11925,13218,9700,13218,29.0,17.0,24.0,24.1,65.5
2021-11-27,11913,13207,8800,13207,29.0,21.0,24.5,24.7,66.7
2021-11-26,11810,13209,9000,13209,30.0,21.0,25.0,25.1,63.2
2021-11-25,12387,13615,9900,13615,30.0,21.0,25.1,25.4,64.5
2021-11-24,12259,13553,10300,13553,30.0,23.0,26.7,27.1,63.0
2021-11-23,12350,13720,10000,13720,30.0,20.0,25.8,27.0,73.0
2021-11-22,12837,14263,9700,14263,30.0,22.0,26.0,26.7,69.3
2021-11-21,13106,14618,10200,14618,30.0,19.2,25.8,26.2,64.7
2021-11-20,12993,14514,9200,14514,30.0,22.0,25.5,25.6,62.4
2021-11-19,12888,14484,9000,14484,30.0,21.0,25.5,25.8,63.4
2021-11-18,12870,14353,9900,14353,30.0,20.0,25.8,26.2,63.8
2021-11-17,12450,13953,9700,13953,31.0,22.0,26.0,26.5,66.0
2021-11-16,12318,13864,9800,13864,32.0,21.0,25.1,25.4,70.6
2021-11-15,12163,13663,9300,13663,25.0,23.0,23.8,23.8,79.7
2021-11-14,12128,13624,9800,13624,26.0,22.0,23.5,23.5,78.4
2021-11-13,12741,14233,10500,14233,27.0,24.0,25.1,25.4,78.6
2021-11-12,12967,14434,10000,14434,29.0,25.0,26.8,27.5,66.6
2021-11-11,12659,14075,10500,14075,31.0,23.0,26.7,27.5,65.3
2021-11-10,12709,14185,10500,14185,31.0,22.0,26.5,27.1,64.1
2021-11-08,12465,13765,10000,13765,29.0,21.0,26.1,26.3,61.5
2021-11-07,12797,14099,10400,14099,31.0,23.0,26.6,27.1,63.7
2021-11-07,12797,14099,10400,14099,31.0,23.0,26.6,27.1,63.7
2021-11-06,13043,14387,10300,14387,31.0,22.0,26.6,27.0,60.5
2021-11-05,12831,14087,9600,14087,32.0,22.0,26.9,27.2,62.0
2021-11-04,12827,14362,10500,14362,32.1,24.0,27.5,28.3,63.3
2021-11-03,13260,14571,10500,14571,31.0,23.0,27.0,27.6,63.3
2021-11-02,13635,15038,11000,15038,31.0,24.0,27.1,27.6,61.9
2021-11-01,13529,14872,11000,14872,32.0,23.0,27.5,27.9,56.5
2021-10-31,13495,14758,12000,14758,33.0,24.0,28.6,28.7,53.2
2021-10-30,13595,14749,11700,14749,32.0,25.0,28.5,30.7,65.5
2021-10-29,13488,14776,10700,14776,33.0,25.0,28.9,31.3,65.3
2021-10-28,13532,14684,12000,14684,32.0,26.0,28.4,30.8,68.9
2021-10-27,13471,14687,12000,14687,33.0,26.0,28.8,31.0,66.5
2021-10-25,13898,15057,12000,15057,31.0,26.0,28.6,31.6,69.5
2021-10-24,13578,14773,12600,14773,32.0,25.0,28.5,31.1,68.8
2021-10-23,13375,14460,11500,14460,32.0,26.0,28.7,31.6,69.4
2021-10-22,13367,14404,11000,14404,32.0,26.0,28.4,30.6,68.4
2021-10-21,13551,14579,12400,14579,32.0,26.0,28.5,32.0,74.8
2021-10-20,13486,14569,11500,14569,32.0,26.0,27.8,31.3,80.7
2021-10-19,13457,14534,12000,14534,29.0,25.0,27.0,29.6,85.1
2021-10-18,13663,14762,12600,14762,32.0,27.0,28.0,32.7,83.1
2021-10-17,13550,14754,13600,14754,34.0,27.0,30.2,35.9,73.3
2021-10-16,13466,14618,13500,14618,35.0,27.0,30.0,35.1,73.4
2021-10-15,13614,14700,12900,14700,35.0,28.0,30.8,36.0,67.5
2021-10-14,13528,14618,13800,14618,35.0,28.0,30.7,37.0,71.3
2021-10-13,13158,14215,13700,14215,34.0,27.0,30.0,35.3,71.8
2021-10-12,13362,14350,13800,14350,35.0,28.0,30.8,36.3,68.3
2021-10-11,13213,14081,13800,14081,35.0,28.0,31.1,36.9,67.9
2021-10-09,13298,14426,12800,14426,33.0,27.0,30.2,35.6,71.0
2021-10-09,13298,14426,12800,14426,33.0,27.0,30.2,35.6,71.0
2021-10-08,13219,14300,12200,14300,33.0,27.0,30.2,35.4,70.1
2021-10-07,13415,14551,13000,14551,34.0,26.0,29.9,34.2,70.3
2021-10-06,13490,14505,12500,14505,31.0,28.0,28.5,33.3,79.1
2021-10-05,13846,14860,12500,14860,32.0,27.0,28.4,32.8,78.7
2021-10-04,13555,14830,13000,14830,33.0,26.0,29.6,34.4,73.6
2021-10-03,13901,14955,13800,14955,33.0,27.0,29.9,35.4,72.2
2021-10-02,13587,14718,13000,14718,34.0,28.0,31.0,35.9,65.2
2021-10-01,13866,14891,12800,14891,34.0,28.0,30.8,35.7,66.6
2021-09-30,14110,15149,13000,15149,33.0,28.0,29.9,34.4,68.9
2021-09-29,13810,14840,13000,14840,30.0,27.0,28.2,32.4,78.5
2021-09-28,13740,14934,13200,14934,33.0,26.0,28.8,33.0,75.8
2021-09-27,13927,14894,13800,14894,34.0,28.0,30.2,35.3,69.7
2021-09-26,13988,14930,13300,14930,36.0,28.0,30.8,36.5,70.4
2021-09-26,13988,14930,13300,14930,36.0,28.0,30.8,36.5,70.4
2021-09-25,13987,14938,13200,14938,33.0,28.0,29.9,35.2,72.0
2021-09-22,13995,14842,13200,14842,33.0,27.0,29.3,34.1,72.4
2021-09-21,13803,14620,13200,14620,32.0,27.0,28.3,32.5,78.0
2021-09-20,13756,14564,13300,14564,32.0,27.0,28.9,33.0,73.8
2021-09-19,13778,14618,13200,14618,31.0,27.0,28.8,33.8,77.6
2021-09-18,13816,14577,12800,14577,34.0,27.0,29.2,34.6,76.9
2021-09-17,13955,14721,12900,14721,32.0,28.0,29.3,34.5,75.3
2021-09-16,13842,14619,13500,14619,33.0,28.0,30.0,35.5,73.1
2021-09-15,13675,14390,13400,14390,34.0,28.0,30.4,35.3,68.4
2021-09-14,13540,14230,13500,14230,31.0,27.0,28.9,34.1,78.6
2021-09-13,13749,14523,13800,14523,34.0,28.0,30.1,35.5,71.1
2021-09-12,13923,14720,13800,14720,36.0,28.0,31.9,36.8,61.3
2021-09-10,13540,14238,12500,14238,34.0,28.0,31.0,36.7,67.9
2021-09-09,13370,14180,13500,14180,33.0,28.0,30.2,36.0,71.6
2021-09-08,13409,14315,13500,14315,33.0,27.0,29.7,34.5,71.1
2021-09-07,13381,14395,13300,14395,32.0,28.0,29.8,35.3,73.1
2021-09-06,13186,14280,13800,14280,35.0,27.0,30.4,35.8,71.3
2021-09-05,13460,14592,13800,14592,33.0,29.0,30.6,36.5,70.3
2021-09-04,13578,14697,13000,14697,32.0,28.0,30.1,36.0,72.8
2021-09-03,13257,14311,12300,14311,34.0,28.0,30.2,35.8,71.5
2021-09-02,12863,14205,13300,14205,34.0,28.0,30.0,35.7,73.2
2021-09-01,13308,14170,13500,14170,31.0,28.0,29.2,34.2,76.3
2021-08-31,13266,14241,13500,14241,32.0,28.0,29.8,35.2,73.5
2021-08-30,13490,14234,13000,14234,32.0,27.0,29.2,33.5,72.5
2021-08-29,13680,14423,13500,14423,31.0,28.0,29.2,34.2,75.2
2021-08-28,13705,14448,13000,14448,34.0,28.0,30.4,36.1,71.1
2021-08-27,13239,14432,12000,14432,32.0,28.0,29.4,35.0,76.7
2021-08-26,13746,14669,13000,14669,31.0,26.0,28.4,33.3,82.8
2021-08-25,13615,14507,13300,14507,32.0,27.0,29.2,34.7,78.8
2021-08-24,13742,14679,13000,14679,34.0,26.0,29.2,33.6,79.1
2021-08-23,13914,14883,13500,14883,34.0,26.0,28.9,33.3,77.7
2021-08-22,14250,15255,13200,15255,35.0,28.0,31.0,35.9,66.7
2021-08-21,14223,15250,12400,15250,32.0,28.0,29.0,34.1,77.0
2021-08-20,13832,14924,12200,14924,31.0,27.0,28.8,33.3,75.6
2021-08-19,13818,14777,12800,14777,31.0,27.0,28.4,32.5,76.7
2021-08-18,14417,15431,13100,15431,31.0,27.0,28.6,33.2,77.1
2021-08-17,14065,15255,13000,15255,31.0,27.0,28.4,32.8,77.8
2021-08-16,14084,15036,13200,15036,32.0,28.0,29.5,35.0,75.4
2021-08-15,14195,15185,12500,15185,32.0,28.0,30.0,35.9,73.3
2021-08-14,14225,15200,12600,15200,33.0,27.0,29.5,35.2,76.4
2021-08-13,14226,15044,12800,15044,32.0,27.0,29.3,35.1,79.0
2021-08-12,14310,14945,13000,14945,35.0,28.0,30.5,37.6,75.7
2021-08-11,13821,14895,13000,14895,32.0,28.0,29.6,35.4,75.2
2021-08-10,14060,14879,13000,14879,32.0,28.0,29.8,35.6,74.0
2021-08-09,14060,14879,13000,14879,31.0,27.0,29.3,34.3,74.8
2021-08-08,14454,14931,13200,14931,33.0,28.0,29.4,34.9,76.8
2021-08-07,14258,14902,12700,14902,32.0,27.0,28.8,33.7,78.8
2021-08-06,14119,14744,11700,14744,33.0,27.0,29.7,35.1,75.0
2021-08-05,13980,14619,13000,14619,34.0,28.0,30.8,36.2,68.2
2021-08-04,13784,14448,12400,14448,34.0,26.0,29.2,33.6,77.6
2021-08-03,14106,14863,13000,14863,34.0,28.0,30.3,36.1,71.7
2021-08-02,14106,14930,12000,14930,31.0,27.0,28.7,33.5,78.1
2021-08-01,14453,15220,12000,15220,31.0,28.0,29.0,34.0,77.6
2021-07-31,14180,14980,11000,14980,30.0,27.0,29.0,34.0,75.7
2021-07-30,14021,14813,9500,14813,31.0,26.0,28.0,31.4,79.7
2021-07-29,13962,14733,10000,14733,29.0,26.0,27.4,30.6,84.4
2021-07-28,14147,14994,11000,14994,32.0,27.0,29.6,34.6,72.8
2021-07-27,14610,15430,11500,15430,33.0,27.0,30.0,35.6,73.2
2021-07-26,14290,15180,12200,15180,33.0,28.0,30.5,35.8,68.8
2021-07-25,14225,15089,11500,15089,35.0,26.0,29.6,34.1,74.1
2021-07-24,14325,15185,12800,15185,30.0,27.0,28.6,33.2,77.7
2021-07-23,14308,15144,12700,15144,31.0,28.0,29.1,33.7,73.7
2021-07-22,13512,14542,11500,14542,34.0,26.0,30.3,35.4,71.3
2021-07-21,13814,14844,11500,14844,32.0,28.0,29.8,35.5,74.3
2021-07-20,14087,15283,10600,15283,32.0,26.0,28.8,33.6,81.6
2021-07-19,13967,14920,13000,14920,30.0,28.0,28.8,34.3,79.1
2021-07-18,14535,15478,13300,15478,32.0,26.0,28.5,32.7,79.3
2021-07-17,14484,15427,13300,15427,32.0,28.0,29.9,35.7,74.5
2021-07-16,14606,15407,12800,15407,32.1,28.0,30.0,35.8,74.1
2021-07-15,14095,15387,13700,15387,35.0,27.0,30.3,36.0,70.7
2021-07-14,13980,15171,13000,15171,34.0,28.0,31.1,37.5,68.9
2021-07-13,14245,15331,13400,15331,34.0,28.0,30.1,35.3,70.8
2021-07-12,14163,15270,13500,15270,34.0,28.0,30.9,36.3,66.8
2021-07-11,14200,15385,13300,15385,33.0,27.0,30.0,34.3,68.3
2021-07-10,14144,15299,12700,15299,33.0,27.0,29.5,34.6,74.3
2021-07-09,13884,15105,11900,15105,34.0,27.0,29.8,34.5,70.4
2021-07-08,13849,15050,12000,15050,33.0,27.0,29.2,33.3,71.4
2021-07-07,13739,14924,12600,14924,29.0,27.0,28.2,32.5,79.3
2021-07-06,13780,14980,13000,14980,32.0,27.0,29.5,33.3,69.0
2021-07-05,13869,15216,12500,15216,33.0,26.0,28.8,32.8,79.4
2021-07-04,14134,15507,12000,15507,31.0,26.0,28.1,31.9,82.3
2021-07-03,14203,15430,12400,15430,31.0,26.0,28.2,31.3,76.8
2021-07-02,14143,15193,11000,15193,29.0,26.0,26.9,29.5,88.5
2021-07-01,14650,15390,11500,15390,29.0,25.0,27.1,29.9,84.4
2021-06-30,14476,15304,12800,15304,32.0,26.0,27.8,31.1,80.1
2021-06-29,14589,15524,13000,15524,31.0,26.0,27.8,31.0,80.7
2021-06-28,14366,15566,13400,15566,32.0,28.0,30.0,35.7,74.0
2021-06-27,14253,15612,13600,15612,33.0,28.0,30.6,36.2,69.8
2021-06-26,14712,15598,12800,15598,32.0,27.0,29.6,34.0,69.6
2021-06-25,14861,15711,11800,15711,32.0,27.0,29.5,34.0,71.4
2021-06-24,14828,15802,13200,15802,32.0,28.0,29.8,34.6,69.3
2021-06-23,14655,15715,13000,15715,32.1,26.0,29.3,33.0,69.9
2021-06-22,13903,15299,12500,15299,29.0,26.0,27.8,31.7,84.0
2021-06-21,14187,15113,12900,15113,30.0,26.0,28.3,31.5,72.8
2021-06-20,14247,15190,11800,15190,29.0,25.0,27.3,30.1,78.8
2021-06-19,14478,15411,12700,15411,28.0,26.0,26.8,29.2,85.7
2021-06-18,13085,13960,11000,13960,29.0,25.1,27.4,30.5,85.0
2021-06-17,14012,14897,12000,14897,30.0,27.0,28.2,32.1,76.9
2021-06-16,13615,14580,12800,14580,30.0,26.0,28.1,31.8,78.6
2021-06-15,13929,14854,13000,14854,32.4,26.0,28.7,32.8,76.9
2021-06-14,13887,14863,13000,14863,35.0,27.0,29.7,35.6,76.0
2021-06-13,14266,15227,13500,15227,33.0,27.0,29.5,33.5,70.1
2021-06-12,14057,15539,13700,15539,32.0,27.0,29.5,34.1,71.8
2021-06-11,14509,15511,12000,15511,33.0,26.0,29.1,33.9,76.8
2021-06-10,14491,15487,13500,15487,33.0,27.0,29.1,34.2,76.0
2021-06-09,14466,15482,13000,15482,33.0,28.0,29.0,33.4,74.1
2021-06-08,14053,15420,11500,15420,32.0,27.0,29.3,34.0,74.7
2021-06-07,13980,15246,13200,15246,33.0,27.0,29.4,33.9,72.5
2021-06-06,14791,15748,13500,15748,31.0,27.0,28.3,32.5,79.4
2021-06-05,14553,15570,12800,15570,30.0,26.0,28.1,31.8,77.4
2021-06-04,15099,16011,12000,16011,35.0,28.0,31.1,36.9,67.1
2021-06-03,14339,15283,13800,15283,34.0,28.0,30.4,35.8,70.2
2021-06-02,13960,14766,13000,14766,34.0,28.0,30.5,35.3,68.2
2021-06-01,13585,14261,12200,14261,31.0,25.0,28.3,32.7,80.9
2021-05-31,13446,14397,13200,14397,29.0,26.0,27.8,30.7,76.5
2021-05-30,13758,14571,13700,14571,34.0,27.0,30.7,36.6,71.4
2021-05-29,14268,15133,13000,15133,34.0,29.0,31.3,36.9,66.1
2021-05-28,14138,14956,11500,14956,33.0,28.0,30.1,35.7,71.8
2021-05-27,14045,15225,12500,15225,31.0,27.0,29.0,33.5,73.5
2021-05-26,14392,15623,11500,15623,30.0,26.0,27.8,31.0,77.9
2021-05-25,14986,16053,11800,16053,35.0,27.0,29.7,35.6,76.5
2021-05-24,14986,15881,14500,15881,37.0,28.0,32.5,39.5,65.2
2021-05-23,14923,15861,14500,15861,36.0,30.0,33.0,39.3,60.2
2021-05-22,14470,15750,13000,15750,36.0,27.0,32.5,37.9,60.1
2021-05-21,14458,15504,12300,15504,36.0,27.0,31.6,37.2,63.4
2021-05-20,14800,15717,13200,15717,36.0,28.0,31.8,38.1,65.0
2021-05-19,14305,15161,12500,15161,35.0,29.0,31.5,37.4,66.0
2021-05-18,14358,15278,13000,15278,35.0,28.0,30.3,36.1,72.5
2021-05-17,14400,15350,11600,15350,36.0,27.0,30.7,35.6,66.3
2021-05-16,14275,15285,11200,15285,35.0,26.0,29.7,33.4,69.8
2021-05-15,13777,14686,11000,14686,36.0,27.0,30.5,34.3,64.7
2021-05-14,14741,15720,10500,15720,34.0,25.0,29.3,31.6,65.7
2021-05-13,14914,15761,10700,15761,33.0,26.0,29.1,32.3,68.6
2021-05-12,14545,15766,11000,15766,32.0,25.0,28.9,31.1,64.7
2021-05-11,14985,15748,11000,15748,29.0,23.7,26.9,29.0,79.4
2021-05-10,14829,15724,11800,15724,34.0,26.0,30.2,33.2,62.4
2021-05-09,15002,15780,13000,15780,35.0,28.0,30.4,33.6,60.8
2021-05-08,14855,15773,12000,15773,34.0,27.0,30.2,33.3,62.2
2021-05-07,14256,15418,11800,15418,35.0,25.1,29.9,33.7,67.0
2021-05-06,14669,15467,12200,15467,33.0,25.0,28.6,31.3,70.8
2021-05-05,14624,15462,13000,15462,33.0,26.0,29.5,32.8,67.9
2021-05-04,14667,15616,13000,15616,33.0,27.0,29.2,32.3,68.4
2021-05-03,14975,16086,13200,16086,32.0,26.0,29.0,31.7,65.8
2021-05-02,15070,15965,13700,15965,33.0,26.0,30.7,34.7,62.9
2021-05-01,14867,15732,11800,15732,35.0,26.0,30.5,34.3,63.9
2021-04-30,14867,15821,13300,15821,37.0,28.0,32.1,35.5,55.3
2021-04-29,14922,16101,13500,16101,36.0,26.0,31.0,34.7,62.4
2021-04-28,14469,15398,14100,15398,36.1,30.0,32.6,37.0,56.0
2021-04-27,14370,15300,13950,15300,37.0,29.0,33.4,37.9,53.6
2021-04-26,14358,15425,13700,15425,37.0,27.0,31.7,35.1,56.0
2021-04-25,14978,15687,13400,15687,36.0,28.0,31.8,35.6,56.8
2021-04-24,15039,15828,13300,15828,36.0,24.4,30.7,33.6,59.1
2021-04-23,14726,15546,12900,15546,34.0,27.0,30.3,33.7,62.4
2021-04-22,14495,15545,13000,15545,33.0,26.0,30.3,34.5,67.0
2021-04-21,14746,15595,13500,15595,35.0,26.0,30.4,34.4,65.1
2021-04-20,14926,15739,13300,15739,36.0,27.0,31.4,35.8,61.7
2021-04-19,14846,16041,12900,16041,35.0,27.0,30.6,34.8,64.3
2021-04-18,15009,15834,12000,15834,35.0,27.0,30.7,34.0,60.3
2021-04-17,15075,15995,13000,15995,33.0,24.0,29.5,31.5,62.7
2021-04-16,14376,15459,12200,15459,35.0,27.0,30.5,34.6,64.1
2021-04-15,14691,15434,13200,15434,35.0,27.4,31.1,35.6,62.7
2021-04-14,14755,15498,13200,15498,36.0,28.0,32.1,36.7,59.6
2021-04-13,14598,15354,13300,15354,36.0,28.0,31.7,35.3,57.6
2021-04-12,14430,15175,13100,15175,36.0,27.0,31.3,34.9,59.4
2021-04-11,14257,14996,13100,14996,34.0,27.0,30.4,34.2,63.6
2021-04-10,14129,15072,12800,15072,34.0,27.0,30.3,34.5,65.6
2021-04-09,14401,15293,12200,15293,34.0,26.0,29.8,33.1,67.2
2021-04-08,14883,15688,12900,15688,33.0,28.0,30.0,32.6,59.7
2021-04-07,14669,15373,12700,15373,35.0,24.0,30.1,31.6,55.0
2021-04-06,15315,16000,12000,16000,34.0,25.0,29.3,30.0,52.5
2021-04-05,15318,15995,12800,15995,34.0,25.0,28.8,29.5,58.0
2021-04-04,15138,15995,13200,15995,35.1,22.0,28.8,30.6,65.7
2021-04-03,14768,15846,12800,15846,34.0,29.0,30.8,34.3,60.3
2021-04-02,14766,15662,12500,15662,35.0,27.0,30.9,33.8,58.0
2021-04-01,15265,16287,13000,16287,35.0,27.0,30.7,34.2,62.1
2021-03-31,14940,15619,12900,15619,34.0,27.0,29.5,34.1,71.3
2021-03-30,15281,15938,11500,15938,33.0,27.0,29.5,33.3,69.0
2021-03-29,15332,16054,12800,16054,35.0,28.0,30.1,33.3,61.6
