Report Date,Zone,Generation(MW)
2024-12-13,Chattogram,4405
2024-12-12,Khulna,2938
2024-12-12,Rajshahi,3890
2024-12-12,Barishal,2784
2024-12-12,Dhaka,36
2024-12-12,Sylhet,3054
2024-12-12,Chattogram,4375
2024-12-12,Cumilla,3432
2024-12-12,Mymensing,499
2024-12-12,Rangpur,1094
2024-12-11,Dhaka,35
2024-12-11,Rangpur,1094
2024-12-11,Rajshahi,3890
2024-12-11,Barishal,2584
2024-12-11,Khulna,2851
2024-12-11,Sylhet,1964
2024-12-11,Mymensing,499
2024-12-11,Cumilla,3426
2024-12-11,Chattogram,4593
2024-12-10,Rangpur,1084
2024-12-10,Khulna,4201
2024-12-10,Barishal,2344
2024-12-10,Rajshahi,3940
2024-12-10,Sylhet,1964
2024-12-10,Chattogram,4650
2024-12-10,Dhaka,34
2024-12-10,Mymensing,499
2024-12-10,Cumilla,2720
2024-12-09,Rangpur,1084
2024-12-09,Rajshahi,3620
2024-12-09,Dhaka,33
2024-12-09,Chattogram,4655
2024-12-09,Cumilla,3365
2024-12-09,Mymensing,499
2024-12-09,Sylhet,1603
2024-12-09,Khulna,4201
2024-12-09,Barishal,2344
2024-12-08,Rangpur,1084
2024-12-08,Rajshahi,3620
2024-12-08,Barishal,2344
2024-12-08,Khulna,4203
2024-12-08,Sylhet,2208
2024-12-08,Chattogram,3619
2024-12-08,Mymensing,499
2024-12-08,Dhaka,32
2024-12-08,Cumilla,3333
2024-12-07,Dhaka,31
2024-12-07,Rangpur,952
2024-12-07,Khulna,3670
2024-12-07,Barishal,2333
2024-12-07,Rajshahi,3520
2024-12-07,Mymensing,491
2024-12-07,Cumilla,3259
2024-12-07,Chattogram,3662
2024-12-07,Sylhet,2666
2024-12-06,Rajshahi,3524
2024-12-06,Rangpur,951
2024-12-06,Dhaka,30
2024-12-06,Khulna,2995
2024-12-06,Barishal,2340
2024-12-06,Sylhet,2550
2024-12-06,Mymensing,507
2024-12-06,Cumilla,3424
2024-12-06,Chattogram,3784
2024-12-05,Cumilla,3396
2024-12-05,Mymensing,503
2024-12-05,Sylhet,2957
2024-12-05,Khulna,2713
2024-12-05,Dhaka,29
2024-12-05,Barishal,2340
2024-12-05,Chattogram,4869
2024-12-05,Rajshahi,3546
2024-12-05,Rangpur,951
2024-12-04,Chattogram,4882
2024-12-04,Rajshahi,3518
2024-12-04,Mymensing,491
2024-12-04,Sylhet,2927
2024-12-04,Khulna,2573
